epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,486.14,0.7736,0.52991,1.21823,0.91688,0.86158,0.9371,0.69039,0.78234,0.73782,1.2376,0.000858025,0.000858025,0.000858025
71,492.443,0.75293,0.52349,1.2036,0.96292,0.9299,0.98083,0.75712,0.73028,0.46705,1.20744,0.000854359,0.000854359,0.000854359
72,499.165,0.7222,0.46897,1.17437,0.96334,0.89691,0.97156,0.73893,0.75716,0.52178,1.21511,0.000850693,0.000850693,0.000850693
73,505.41,0.78699,0.54687,1.22325,0.96325,0.89845,0.97103,0.73342,0.72381,0.49111,1.20442,0.000847026,0.000847026,0.000847026
74,512.187,0.75693,0.53178,1.18277,0.94579,0.94554,0.97305,0.75477,0.73831,0.49709,1.22411,0.00084336,0.00084336,0.00084336
75,518.436,0.759,0.53193,1.23836,0.95224,0.923,0.97123,0.75011,0.76473,0.51637,1.24615,0.000839694,0.000839694,0.000839694
76,525.189,0.74045,0.55261,1.20084,0.90598,0.95649,0.96704,0.74735,0.76364,0.52721,1.24539,0.000836027,0.000836027,0.000836027
77,531.41,0.77067,0.54468,1.21952,0.90618,0.97024,0.97615,0.73756,0.79971,0.51476,1.30662,0.000832361,0.000832361,0.000832361
78,538.048,0.74122,0.53997,1.25158,0.92951,0.92289,0.96838,0.72988,0.81808,0.51727,1.31982,0.000828695,0.000828695,0.000828695
79,544.299,0.74621,0.5296,1.18093,0.91905,0.96516,0.9834,0.77726,0.80328,0.4828,1.29731,0.000825029,0.000825029,0.000825029
80,551.049,0.7811,0.502,1.24602,0.95163,0.97917,0.97878,0.756,0.76331,0.47993,1.24855,0.000821362,0.000821362,0.000821362
81,557.43,0.74014,0.49506,1.15322,0.96433,0.9517,0.97772,0.75997,0.75649,0.46949,1.25028,0.000817696,0.000817696,0.000817696
82,564.259,0.69984,0.49663,1.17945,0.95957,0.93996,0.96777,0.74117,0.74099,0.5138,1.24693,0.00081403,0.00081403,0.00081403
83,570.634,0.73693,0.52006,1.19116,0.96262,0.92757,0.97331,0.73958,0.74256,0.50585,1.25828,0.000810363,0.000810363,0.000810363
84,577.329,0.74642,0.51152,1.19386,0.96757,0.9621,0.97993,0.73464,0.75739,0.46206,1.27789,0.000806697,0.000806697,0.000806697
85,583.602,0.7381,0.46836,1.15097,0.95104,0.96534,0.9796,0.713,0.77533,0.46865,1.27356,0.000803031,0.000803031,0.000803031
86,590.256,0.7251,0.46469,1.16831,0.94094,0.93526,0.98215,0.69466,0.81129,0.50479,1.32044,0.000799365,0.000799365,0.000799365
87,596.509,0.70593,0.51118,1.19345,0.96162,0.92639,0.97062,0.71069,0.8645,0.49035,1.3357,0.000795698,0.000795698,0.000795698
88,603.215,0.79872,0.5691,1.24682,0.9374,0.9227,0.9813,0.70505,0.85003,0.50203,1.30363,0.000792032,0.000792032,0.000792032
89,609.535,0.72729,0.52703,1.20568,0.92062,0.94521,0.97832,0.71369,0.82519,0.51689,1.32014,0.000788366,0.000788366,0.000788366
90,616.252,0.78321,0.52767,1.24828,0.93307,0.92444,0.97257,0.70393,0.80285,0.53346,1.27093,0.000784699,0.000784699,0.000784699
91,622.936,0.7416,0.53894,1.20929,0.93413,0.94917,0.97546,0.70381,0.808,0.50037,1.24995,0.000781033,0.000781033,0.000781033
92,629.615,0.75154,0.51083,1.19462,0.94951,0.93806,0.97375,0.72429,0.80053,0.47284,1.26286,0.000777367,0.000777367,0.000777367
93,635.894,0.69905,0.46749,1.17206,0.97119,0.93875,0.96798,0.73021,0.80737,0.54942,1.275,0.0007737,0.0007737,0.0007737
94,642.497,0.74148,0.50977,1.2101,0.95262,0.94959,0.97128,0.72497,0.82209,0.50939,1.3097,0.000770034,0.000770034,0.000770034
95,648.769,0.74921,0.45968,1.22427,0.94838,0.94917,0.97878,0.74353,0.79158,0.46785,1.27463,0.000766368,0.000766368,0.000766368
96,655.445,0.74843,0.46679,1.17499,0.93788,0.8877,0.96713,0.71473,0.78535,0.54102,1.2678,0.000762702,0.000762702,0.000762702
97,661.717,0.73384,0.46784,1.18926,0.97217,0.90598,0.96754,0.70428,0.83308,0.56905,1.30395,0.000759035,0.000759035,0.000759035
98,668.344,0.74103,0.48834,1.15838,0.96339,0.92185,0.96512,0.71519,0.81719,0.54848,1.2889,0.000755369,0.000755369,0.000755369
99,674.667,0.69935,0.48164,1.1677,0.96686,0.91701,0.97106,0.72595,0.73789,0.50284,1.23213,0.000751703,0.000751703,0.000751703
100,681.311,0.71939,0.48604,1.1641,0.96247,0.9116,0.96156,0.70676,0.75466,0.56304,1.25945,0.000748036,0.000748036,0.000748036
101,687.681,0.69839,0.4417,1.13826,0.96236,0.9231,0.96949,0.69675,0.78324,0.51984,1.28914,0.00074437,0.00074437,0.00074437
102,694.366,0.70193,0.48113,1.20005,0.98486,0.92058,0.97825,0.70608,0.83184,0.46541,1.31973,0.000740704,0.000740704,0.000740704
103,700.669,0.70264,0.50909,1.18471,0.9522,0.95006,0.97577,0.67438,0.83985,0.45935,1.31706,0.000737037,0.000737037,0.000737037
104,707.358,0.68021,0.46581,1.14211,0.95141,0.93856,0.97819,0.68614,0.85595,0.48353,1.34191,0.000733371,0.000733371,0.000733371
105,713.637,0.7004,0.46755,1.17421,0.94106,0.9258,0.96525,0.71299,0.81087,0.51123,1.30707,0.000729705,0.000729705,0.000729705
106,720.372,0.71674,0.4856,1.16724,0.94938,0.93587,0.9753,0.73526,0.79981,0.46269,1.27826,0.000726038,0.000726038,0.000726038
107,726.665,0.76088,0.49607,1.18612,0.95981,0.9542,0.97741,0.72183,0.75186,0.44563,1.25787,0.000722372,0.000722372,0.000722372
108,733.484,0.6975,0.47582,1.18316,0.99113,0.92934,0.9795,0.72536,0.77877,0.50611,1.26894,0.000718706,0.000718706,0.000718706
109,739.767,0.71995,0.49133,1.19789,0.96047,0.95525,0.98613,0.711,0.80037,0.4674,1.27769,0.00071504,0.00071504,0.00071504
110,746.426,0.68707,0.47244,1.1418,0.94786,0.96917,0.97992,0.71264,0.78737,0.47651,1.24956,0.000711373,0.000711373,0.000711373
111,752.712,0.7436,0.50079,1.21606,0.95925,0.91986,0.96597,0.71887,0.76996,0.483,1.22391,0.000707707,0.000707707,0.000707707
112,759.427,0.72056,0.46527,1.18538,0.96964,0.91318,0.96438,0.71684,0.82841,0.51975,1.26718,0.000704041,0.000704041,0.000704041
113,766.228,0.71839,0.48182,1.19732,0.94259,0.94601,0.97178,0.72465,0.81911,0.51149,1.26446,0.000700374,0.000700374,0.000700374
114,772.972,0.6666,0.47188,1.12402,0.97547,0.95544,0.97466,0.74153,0.81147,0.46998,1.26681,0.000696708,0.000696708,0.000696708
115,779.282,0.71745,0.48068,1.18934,0.98035,0.94377,0.97571,0.71178,0.80334,0.4672,1.26232,0.000693042,0.000693042,0.000693042
116,786.021,0.74831,0.47387,1.20171,0.97666,0.94979,0.98135,0.70269,0.82857,0.45738,1.26097,0.000689376,0.000689376,0.000689376
117,792.411,0.71133,0.45573,1.14296,0.95634,0.96423,0.98047,0.70532,0.84013,0.47344,1.28301,0.000685709,0.000685709,0.000685709
118,799.093,0.66479,0.42158,1.14178,0.96595,0.95771,0.98385,0.72327,0.80927,0.47703,1.26166,0.000682043,0.000682043,0.000682043
119,805.364,0.69393,0.45462,1.16362,0.94172,0.98958,0.98455,0.72611,0.80745,0.4697,1.26484,0.000678377,0.000678377,0.000678377
120,812.286,0.72781,0.4997,1.17464,0.95779,0.98958,0.98412,0.73532,0.8086,0.45581,1.26124,0.00067471,0.00067471,0.00067471
121,818.761,0.73088,0.46206,1.22155,0.94497,0.98958,0.98423,0.74361,0.78301,0.46275,1.24154,0.000671044,0.000671044,0.000671044
122,825.416,0.73419,0.47616,1.21675,0.96004,0.96827,0.98148,0.77251,0.73604,0.43166,1.20977,0.000667378,0.000667378,0.000667378
123,832.041,0.69819,0.46229,1.19683,0.96162,0.97195,0.98082,0.74696,0.79146,0.45145,1.24391,0.000663711,0.000663711,0.000663711
124,838.756,0.68864,0.43502,1.1422,0.94716,0.94729,0.9801,0.74624,0.77186,0.46687,1.22917,0.000660045,0.000660045,0.000660045
125,845.649,0.70075,0.45214,1.15773,0.94282,0.96865,0.97855,0.72654,0.77832,0.48593,1.23676,0.000656379,0.000656379,0.000656379
126,852.36,0.72784,0.47501,1.16917,0.9562,0.96917,0.98214,0.72669,0.78319,0.44566,1.22655,0.000652712,0.000652712,0.000652712
127,859.31,0.67727,0.45768,1.16803,0.95828,0.92701,0.98135,0.75074,0.75821,0.42866,1.22158,0.000649046,0.000649046,0.000649046
128,865.667,0.66097,0.46439,1.16863,0.94041,0.94597,0.97698,0.72797,0.76148,0.44787,1.21425,0.00064538,0.00064538,0.00064538
129,872.749,0.68023,0.43788,1.12729,0.95917,0.92647,0.9779,0.75349,0.75071,0.46283,1.20873,0.000641714,0.000641714,0.000641714
130,879.084,0.66012,0.42954,1.16227,0.95464,0.9558,0.97937,0.75479,0.746,0.44355,1.22491,0.000638047,0.000638047,0.000638047
131,886.038,0.66813,0.45416,1.13921,0.96733,0.95023,0.98276,0.74238,0.75352,0.4391,1.23679,0.000634381,0.000634381,0.000634381
132,892.365,0.64301,0.40123,1.1506,0.94696,0.95787,0.98444,0.73821,0.77977,0.4352,1.25723,0.000630715,0.000630715,0.000630715
133,899.265,0.65722,0.41959,1.14097,0.95974,0.93836,0.98505,0.73298,0.77306,0.43389,1.25564,0.000627048,0.000627048,0.000627048
134,905.583,0.68576,0.44701,1.14047,0.96557,0.94829,0.98537,0.72925,0.7403,0.42477,1.24132,0.000623382,0.000623382,0.000623382
135,912.944,0.65704,0.44827,1.1471,0.95742,0.9503,0.98606,0.73536,0.71731,0.41519,1.2179,0.000619716,0.000619716,0.000619716
136,919.309,0.62347,0.42016,1.13433,0.96314,0.93643,0.98483,0.72142,0.73031,0.42191,1.21956,0.000616049,0.000616049,0.000616049
137,926.154,0.695,0.43422,1.16443,0.96923,0.95952,0.98545,0.71081,0.7706,0.42687,1.23946,0.000612383,0.000612383,0.000612383
138,932.481,0.61886,0.41118,1.11465,0.97133,0.96311,0.98398,0.72371,0.74957,0.43985,1.22006,0.000608717,0.000608717,0.000608717
139,939.297,0.63311,0.40029,1.09069,0.94802,0.95278,0.97409,0.70345,0.7766,0.45757,1.24135,0.000605051,0.000605051,0.000605051
140,945.638,0.7008,0.41835,1.16864,0.94063,0.94218,0.97817,0.72325,0.77613,0.46585,1.23728,0.000601384,0.000601384,0.000601384
141,952.374,0.68612,0.4313,1.13787,0.95649,0.93648,0.97975,0.7202,0.77787,0.49354,1.25521,0.000597718,0.000597718,0.000597718
142,958.652,0.71851,0.42668,1.20137,0.95871,0.92819,0.97981,0.71271,0.77739,0.50631,1.25804,0.000594052,0.000594052,0.000594052
143,965.395,0.67521,0.40412,1.14817,0.98168,0.92476,0.97957,0.7014,0.79335,0.45901,1.25909,0.000590385,0.000590385,0.000590385
144,971.85,0.65127,0.41768,1.14614,0.98618,0.94215,0.98103,0.70623,0.79492,0.44318,1.25078,0.000586719,0.000586719,0.000586719
145,978.565,0.64917,0.40061,1.10207,0.95935,0.95943,0.97815,0.72955,0.76341,0.44832,1.23813,0.000583053,0.000583053,0.000583053
146,984.926,0.64557,0.41156,1.14236,0.94974,0.94339,0.97577,0.7307,0.77735,0.45524,1.25369,0.000579386,0.000579386,0.000579386
147,991.728,0.63583,0.40621,1.13262,0.97651,0.9312,0.97588,0.74163,0.7721,0.44195,1.24633,0.00057572,0.00057572,0.00057572
148,998.055,0.68463,0.44852,1.17019,0.95198,0.94201,0.9727,0.74777,0.75083,0.47254,1.21436,0.000572054,0.000572054,0.000572054
149,1004.84,0.65571,0.41254,1.13611,0.93173,0.95958,0.96752,0.72698,0.75759,0.56322,1.22202,0.000568388,0.000568388,0.000568388
150,1011.2,0.65882,0.41854,1.1391,0.94006,0.93575,0.97552,0.7388,0.76526,0.49278,1.22437,0.000564721,0.000564721,0.000564721
151,1017.89,0.65809,0.4164,1.15818,0.9603,0.93665,0.97751,0.75288,0.72939,0.46617,1.20882,0.000561055,0.000561055,0.000561055
152,1024.16,0.62368,0.4178,1.12196,0.96036,0.94228,0.97777,0.75183,0.70883,0.43984,1.18396,0.000557389,0.000557389,0.000557389
153,1030.92,0.60206,0.38648,1.06979,0.94168,0.96539,0.98459,0.76186,0.72952,0.42882,1.20997,0.000553722,0.000553722,0.000553722
154,1037.27,0.6435,0.39719,1.09463,0.95091,0.94303,0.98619,0.76503,0.73005,0.42778,1.19678,0.000550056,0.000550056,0.000550056
155,1044.14,0.61387,0.38662,1.11038,0.95317,0.94223,0.98821,0.75727,0.70859,0.41362,1.1888,0.00054639,0.00054639,0.00054639
156,1050.57,0.62229,0.39682,1.15735,0.9694,0.95805,0.99088,0.75812,0.71778,0.38964,1.2028,0.000542723,0.000542723,0.000542723
157,1057.91,0.64681,0.42164,1.15219,0.97339,0.9602,0.9901,0.75365,0.74154,0.39189,1.21866,0.000539057,0.000539057,0.000539057
158,1064.28,0.62583,0.42118,1.14795,0.9446,0.97045,0.98727,0.73547,0.73696,0.40036,1.22385,0.000535391,0.000535391,0.000535391
159,1071.16,0.61232,0.38578,1.11884,0.96434,0.93922,0.98773,0.73357,0.70454,0.41199,1.18566,0.000531725,0.000531725,0.000531725
160,1077.43,0.61991,0.37928,1.10776,0.97679,0.93267,0.98849,0.73909,0.70151,0.41105,1.16689,0.000528058,0.000528058,0.000528058
